country,year,palma,ef,fossil_fuel_share,gdp_per_capita,urban_pct,trade_openness,renewable_energy,co2_per_capita,oil_rents,energy_intensity,fdi_inflows,gini_wid
Algeria,2005,4.6787148594377514,1.48,99.59232534606033,3233.1333963421216,63.6598541890144,66.84046022039064,0.6,315.2727265304909,27.9141141505655,3.96,1.0799033303114274,0.5687
Algeria,2006,4.6787148594377514,1.5,99.72238805940007,3660.661047453223,64.4154348614309,65.91529196776213,0.4,294.16523093482147,29.5343935472454,4.17,1.4957233520752602,0.5687
Algeria,2007,4.384909264565425,1.49,99.73486301186594,4167.451699375306,65.1690763324461,67.54547339397634,0.4,301.3366158380741,27.9267087662485,4.29,1.1838181536618955,0.5584
Algeria,2008,4.123974475843209,1.49,99.80396337612551,5180.918815146864,65.901485871159,71.02849225052607,0.3,284.52057642021043,29.1086401323721,4.24,1.4627734457178678,0.5482
Algeria,2009,3.885789014821273,1.58,99.92099471655703,4235.42990456612,66.5097384559521,64.28475472389927,0.3,283.2922850809454,19.9046263657492,4.56,1.8274216466826076,0.5381
Algeria,2010,3.675313807531381,1.58,96.08237707066532,4912.785855036717,67.1235057867459,63.4912159928425,0.3,265.4388053730192,21.9939993236664,4.49,1.2939046748781748,0.5282
Algeria,2011,3.481094127111826,1.65,96.391089085483,5916.3136436434315,67.7344007507578,62.220089961047854,0.2,230.56880319585844,25.0260096148481,4.54,1.1776732910117136,0.5185000000000001
Algeria,2012,4.063588850174217,1.72,96.8559437804052,6033.648846895432,68.3421258553675,60.7576393340605,0.2,213.06636845262764,22.6025382987382,4.81,0.6605519538987908,0.549
Algeria,2013,4.771428571428571,1.76,97.15503409489133,5979.601389605846,68.9463836079277,59.15100815724396,0.1,215.6121930731566,20.8724313901278,4.84,0.7365590651116339,0.5801000000000001
Algeria,2014,4.771428571428571,1.73,97.03029003247262,6094.693923149557,69.5468765157615,56.92354196698671,0.1,193.90046589370397,19.3167294732848,5.09,0.6286889683910061,0.5801000000000001
Algeria,2015,4.771428571428571,1.73,21.626194441703852,4685.059027290017,70.1433070861612,53.204622590414495,0.1,108.07484025510959,11.7459031918092,5.14,-0.28683229067643784,0.5801000000000001
Algeria,2016,4.771428571428571,1.6,0.0,4424.985290275557,70.7353778263851,49.76093279252163,0.1,104.33380274542351,10.0262189142963,4.94,0.9063007059974553,0.5801000000000001
Algeria,2017,4.771428571428571,1.62,0.0,4554.667539578281,71.3227912436551,49.82081617125868,0.1,70.90249285104373,12.1565741270026,5.01,0.6479026963448938,0.5801000000000001
Algeria,2018,4.771428571428571,1.78,0.0,4577.210291804906,71.905249845153,52.43616767792233,0.2,72.62939954171904,15.9428081774505,5.27,0.7535760885521254,0.5801000000000001
Algeria,2019,4.771428571428571,1.76,0.0,4468.453418836562,72.4824561380175,46.50684260816725,0.2,51.940609743606366,14.1421031504305,5.4,0.7139473080156913,0.5801000000000001
Algeria,2020,4.771428571428571,1.64,0.0,3743.5419522928983,73.0541126293395,40.389756562538814,0.1,29.745786962460777,9.03841379679424,5.4,0.6938160147728365,0.5801000000000001
Bahrain,2005,9.8841059602649,8.33,98.02726793763429,17966.165783762463,91.168165501421,148.31352510892302,0.0,2240.625061407045,20.0931217396654,10.55,6.566594458402232,0.6886
Bahrain,2006,8.691376701966716,8.45,,19267.28261507196,92.7186075361661,147.10418106898885,0.0,2068.734129119688,20.3670614713082,10.36,15.750865008588622,0.668
Bahrain,2007,7.614958448753463,8.25,94.97699502551266,20908.404254807345,94.460505558445,137.7850505723042,0.0,2263.0942017708553,18.9906048191926,10.31,8.082432189516705,0.6455000000000001
Bahrain,2008,6.613924050632912,8.37,99.57592594973798,23299.499278039202,96.3461384245376,145.88251114582147,0.0,2172.668804053291,21.6815768768211,10.36,6.977577827404971,0.6206
Bahrain,2009,5.684757505773672,7.65,99.44518086478983,19465.31407450379,98.3277849907243,117.96372540948919,0.0,1837.410516028271,14.4351176966592,9.7,1.1210529103272513,0.5931000000000001
Bahrain,2010,6.121686746987951,7.94,,21819.329109809907,100.0,115.56148644961578,0.0,1768.9864428534258,17.3156329535965,9.59,0.5811053566339595,0.6074
Bahrain,2011,6.57286432160804,8.02,98.58043345028045,25032.786774333345,100.0,167.52964103585376,0.0,1505.6351285315952,23.3980559518896,9.42,2.610260385920237,0.621
Bahrain,2012,7.047182175622543,8.25,,26438.67332304283,100.0,178.82402082168437,0.0,1289.5911493955869,20.0940234657871,8.64,4.832654365364615,0.634
Bahrain,2013,7.5444596443228455,8.36,98.83971876779286,26989.760114846904,100.0,184.5895088448501,0.0,1427.945585574258,20.8660137007827,9.54,11.021130609070738,0.6465000000000001
Bahrain,2014,8.057061340941514,8.25,,26451.796564745277,100.0,168.57585814185967,0.0,1209.2317769893916,18.8709266924557,8.77,4.3672898404294624,0.6585000000000001
Bahrain,2015,8.59375,7.86,1.8831935343274935,23734.05511430191,100.0,147.91606017290388,0.0,640.6439812042948,9.82474436918962,9.05,0.19952963342154073,0.67
Bahrain,2016,8.59375,7.27,0.0,23800.001440631015,100.0,132.82299790277412,0.0,606.0999925344722,7.62960432748572,8.62,0.7181742832385178,0.67
Bahrain,2017,8.59375,7.31,0.0,24784.76935146067,100.0,136.42923981039402,0.0,393.2722197185753,8.93795259727704,8.33,3.8330089119959063,0.67
Bahrain,2018,8.59375,7.27,0.0,26324.40665495586,100.0,144.07537257453507,0.0,384.8681229514432,11.3900811220261,8.24,4.18079308703845,0.67
Bahrain,2019,8.59375,7.91,0.0,27259.743859932696,100.0,135.41754339821145,0.0,283.8155786543577,9.8481886760226,8.68,2.3283798001052074,0.67
Bahrain,2020,8.59375,7.57,0.0,24342.844455471797,100.0,135.4609850129314,0.0,175.81526245220715,6.69558923237194,9.42,2.849732281010317,0.67
Egypt,2005,5.061122244488978,1.05,93.66707875118821,1105.5392071390345,42.9569271409488,62.95264623955432,6.5,216.75753433084031,11.8509312061057,4.0,5.995515988857939,0.5894
Egypt,2006,5.0641925777332,1.08,93.77973219271311,1298.9790020312446,42.9729991680104,61.518536506394696,6.2,221.81331409053993,11.7296934107586,3.95,9.348567265662941,0.5897
Egypt,2007,5.066265060240965,1.11,93.90444192292826,1547.7417073590857,42.9729666344509,65.07787325456499,6.0,227.83576238491793,10.7818588338143,3.94,8.876336063372719,0.5900000000000001
Egypt,2008,5.0744466800804835,1.13,94.21538837790264,1896.2159426977898,42.9608989120873,71.68062534896706,5.9,223.51116959754467,12.4545677729971,3.81,5.831412618648799,0.5902000000000001
Egypt,2009,4.777242044358728,1.1,94.47139314376234,2161.6396457392652,42.9383470624904,56.55344463634619,5.7,209.9928223280106,6.24755741424533,3.72,3.548351180195739,0.5796
Egypt,2010,4.50462962962963,1.1,94.32839730181077,2455.0819464528213,42.9057175520154,47.936350074589754,5.4,198.029734936608,7.41778712942652,3.51,2.9160165755014087,0.5691
Egypt,2011,4.713185755534168,1.13,94.05864785468032,2590.6438489196503,42.8634168470177,45.2556341623514,5.4,175.7032941016041,9.74186285549743,3.61,-0.2045428488075268,0.5763
Egypt,2012,4.94282848545637,1.14,93.89304409593703,2996.0677072015005,42.8118514138525,40.71176927210844,5.3,150.82971511477615,8.38345897037217,3.64,1.0023407177404908,0.5835
Egypt,2013,5.045500505561173,1.11,93.8973902079236,3025.525635524481,42.7514277188751,40.37303805633197,5.3,145.17650126171196,7.82863019779494,3.43,1.4534342076972695,0.5880000000000001
Egypt,2014,5.1478083588175325,1.08,90.22065734555792,3133.391022655408,42.6825522284408,36.92018779342723,5.4,120.16046020762417,6.82340013626772,3.45,1.5092504225352112,0.5923
Egypt,2015,5.248715313463515,1.06,62.7106573100733,3306.9815941414076,42.6056314089048,34.84594296002291,5.3,66.89651373080649,3.05526433674059,3.28,2.1025812840132576,0.5965
Egypt,2016,5.104040404040403,1.06,0.0,3270.628776819699,42.5210717266225,30.246549051450504,5.1,68.31894360452569,2.35006516963224,3.46,2.4385627814276227,0.5915
Egypt,2017,4.971172962226641,1.11,0.0,2395.1033329949128,42.4486008687179,42.832134358160786,4.9,46.23140236109493,4.12683269397819,3.48,2.983015509176947,0.5867
Egypt,2018,4.969246031746032,1.07,0.0,2484.7031563050828,42.4577177449969,45.911019673395906,5.0,45.57115150443826,5.47658822874947,3.27,3.100400775791865,0.5870000000000001
Egypt,2019,4.9722497522299305,0.96,0.0,2962.9889202300265,42.4812027332648,41.12401715511079,6.2,28.556501181191262,3.8819618632175,3.1,2.8273294496068617,0.5873
Egypt,2020,4.676470588235294,0.98,0.0,3511.1138102637947,42.5181534630674,32.12625556675226,6.7,15.688980576714302,1.85770095140202,2.96,1.5246294899717194,0.5773
Iran,2005,6.998677248677248,2.75,98.85594725313376,3132.0508192006955,67.8708801269531,54.44049526355364,1.4,647.7826536926157,31.6076762648214,7.73,1.2842543011276841,0.6271
