country,year,ln_ef,ln_co2_per_capita,ln_palma,ln_gini_wid,ln_gdp_per_capita,ln_fossil_fuel_share,ln_renewable_energy,ln_urban_pct,ln_trade_openness,ln_oil,ihs_fdi
Algeria,2005,0.3920420877760237,5.753438062747795,1.5430234695350935,-0.5644022246693831,8.08120703772858,4.601085106863252,-0.5108256237659907,4.15355413138658,4.202308589107298,3.329168267973576,0.9367605713578832
Algeria,2006,0.4054651081081644,5.684141619452603,1.5430234695350935,-0.5644022246693831,8.205399024144914,4.602390206016031,-0.916290731874155,4.165353276154969,4.188370462658701,3.3855893254459586,1.1923886162210198
Algeria,2007,0.3987761199573678,5.70822796493268,1.4781689333786852,-0.5826797275339743,8.335060024725827,4.602515295000413,-0.916290731874155,4.176985067042162,4.212801050968798,3.3296193417280424,1.005572404502752
Algeria,2008,0.3987761199573678,5.6508055758024245,1.4168173769607808,-0.6011150951134516,8.55273769696549,4.603207895716501,-1.2039728043259361,4.188160988616322,4.26308109584547,3.371069395344192,1.1739346560773967
Algeria,2009,0.4574248470388755,5.646479174135786,1.3573260558171851,-0.6197108624867631,8.351240114228373,4.604379820897445,-1.2039728043259361,4.197348379886735,4.163322507080528,2.991002423716498,1.3636808609579787
Algeria,2010,0.4574248470388755,5.581384325878282,1.3016385188237556,-0.6382802791191052,8.499596443805036,4.565205918001337,-1.2039728043259361,4.206534292421058,4.150901565508677,3.090815124051258,1.0747291923946878
Algeria,2011,0.5007752879124892,5.440549313322524,1.2473466487141736,-0.6568152513125549,8.685468838592293,4.568413760471366,-1.6094379124341003,4.2155941860275625,4.1306779373226385,3.2199556262667017,1.0016010764272927
Algeria,2012,0.5423242908253617,5.361603706155133,1.4020665364019327,-0.5996568374726063,8.70510722228401,4.573224758960127,-1.6094379124341003,4.224526353247047,4.10689282466965,3.118106455914777,0.6200501911899836
Algeria,2013,0.5653138090500605,5.373481391578372,1.5626457509273415,-0.5445547765101183,8.696109187466437,4.5763079922358845,-2.3025850929940455,4.233329153377606,4.080093634357659,3.0384771249256537,0.6823597308112196
Algeria,2014,0.5481214085096876,5.26734496499819,1.5626457509273415,-0.5445547765101183,8.715173822959517,4.575023198133767,-2.3025850929940455,4.242001007451001,4.041708998393614,2.9610232997914023,0.5932693306758748
Algeria,2015,0.5481214085096876,4.682823952459701,1.5626457509273415,-0.5445547765101183,8.452133793801268,3.0739052855910294,-2.3025850929940455,4.250540393388956,3.9741452833700768,2.463589647708719,-0.28303806884070976
Algeria,2016,0.47000362924573563,4.647595401019337,1.5626457509273415,-0.5445547765101183,8.395022233204992,4.268320032464015,-2.3025850929940455,4.258945841331355,3.9072301940856415,2.3053032867853918,0.8135428832002143
Algeria,2017,0.4824261492442928,4.261305593019327,1.5626457509273415,-0.5445547765101183,8.423907819012364,4.558303091963173,-2.3025850929940455,4.267215929128369,3.9084328921016644,2.4979523605013654,0.6094650003895573
Algeria,2018,0.5766133643039938,4.285369792224946,1.5626457509273415,-0.5445547765101183,8.428844984934631,4.556851042640734,-1.6094379124341003,4.275349277988491,3.959596576093863,2.7690705518202137,0.6960055963452674
Algeria,2019,0.5653138090500605,3.9501009455497234,1.5626457509273415,-0.5445547765101183,8.40479763642708,4.275177561055155,-1.6094379124341003,4.2833445482744965,3.839599454631202,2.6492270954028783,0.6640552100434033
Algeria,2020,0.494696241836107,3.3926875072561287,1.5626457509273415,-0.5445547765101183,8.227787488311003,4.542437386942477,-2.3025850929940455,4.291200435439361,3.6985762023855515,2.201594326814163,0.647593089229435
Bahrain,2005,2.1198634561787513,7.714510151194197,2.2909280084518326,-0.37309472807771366,9.796245589385588,4.585245684229391,1.139923562523693,4.512705773659377,4.999328445989529,3.0004273215300508,2.5808905021654995
Bahrain,2006,2.134166441369082,7.634692167371323,2.1623313504311694,-0.40346710544549125,9.866163735121754,4.53265394634577,1.159765723649639,4.529569180974011,4.991141050514054,3.0139680598440886,3.451048645557633
