,Coefficient,Std_Error,T_Stat,P_Value
Palma_Regime1,-0.024857495530124025,0.06644529982795462,-0.37410464840232494,0.7086756611440181
Palma_Regime2,0.13802756573158473,0.039872337713049384,3.4617374763660065,0.0006411850329960031
ln_ef_lag1_fod,0.5683080669471592,0.04285864247290466,13.260057578968931,4.253684751096567e-30
ln_gdp_per_capita_fod,0.02023395598576459,0.12686065091260018,0.15949749461481671,0.8734187558808324
ln_gdp_sq_fod,0.004382301820853693,0.007300780240993008,0.6002511616837324,0.54893762664409
ln_fossil_fuel_share_fod,-0.0056147737401103,0.00996945753173614,-0.5631975182437544,0.5738562599293181
ln_renewable_energy_fod,-0.016912464741359604,0.005518084445771551,-3.064915897457757,0.0024409161361502976
ln_urban_pct_fod,-0.1734955611964978,0.12019160482718548,-1.4434915104591048,0.15026067133678955
ln_trade_openness_fod,0.09296527859874049,0.026513416125542397,3.506348565516608,0.0005473933994573579
ln_oil_fod,0.029676600336786516,0.009606493126337611,3.089223085521579,0.002257218723471911
ihs_fdi_fod,0.0019719804438607085,0.00487740828976927,0.40430907701475094,0.6863661230622874
